,lat_northernrockies,lon_northernrockies
213,42.65625,-108.90625
214,42.65625,-108.84375
215,42.65625,-108.78125
216,42.65625,-108.71875
217,42.71875,-112.78125
218,42.71875,-112.71875
219,42.71875,-112.53125
220,42.71875,-112.46875
221,42.71875,-112.40625
222,42.71875,-112.34375
223,42.71875,-112.28125
224,42.71875,-112.15625
225,42.71875,-112.09375
226,42.71875,-112.03125
227,42.71875,-111.96875
228,42.71875,-111.90625
229,42.71875,-111.71875
230,42.71875,-111.65625
231,42.71875,-111.53125
232,42.71875,-111.46875
233,42.71875,-111.40625
234,42.71875,-111.34375
235,42.71875,-111.28125
236,42.71875,-111.21875
237,42.71875,-111.15625
238,42.71875,-111.09375
239,42.71875,-111.03125
240,42.71875,-110.90625
241,42.71875,-110.84375
242,42.71875,-110.78125
243,42.71875,-110.71875
244,42.71875,-110.65625
245,42.71875,-110.59375
246,42.71875,-110.53125
247,42.71875,-110.46875
248,42.71875,-110.40625
249,42.71875,-110.34375
250,42.71875,-110.28125
251,42.71875,-110.21875
252,42.71875,-110.15625
253,42.71875,-109.90625
254,42.71875,-109.84375
255,42.71875,-109.46875
256,42.71875,-109.40625
257,42.71875,-109.34375
258,42.71875,-109.28125
259,42.71875,-109.21875
260,42.71875,-109.15625
261,42.71875,-109.09375
262,42.71875,-109.03125
263,42.71875,-108.96875
264,42.71875,-108.90625
265,42.71875,-108.84375
266,42.71875,-108.78125
267,42.78125,-112.53125
268,42.78125,-112.46875
269,42.78125,-112.40625
270,42.78125,-112.34375
271,42.78125,-112.15625
272,42.78125,-112.09375
273,42.78125,-112.03125
274,42.78125,-111.78125
275,42.78125,-111.71875
276,42.78125,-111.65625
277,42.78125,-111.53125
278,42.78125,-111.46875
279,42.78125,-111.40625
280,42.78125,-111.34375
281,42.78125,-111.28125
282,42.78125,-111.21875
283,42.78125,-111.15625
284,42.78125,-111.09375
285,42.78125,-111.03125
286,42.78125,-110.90625
287,42.78125,-110.84375
288,42.78125,-110.78125
289,42.78125,-110.71875
290,42.78125,-110.65625
291,42.78125,-110.59375
292,42.78125,-110.53125
293,42.78125,-110.46875
294,42.78125,-110.40625
295,42.78125,-110.34375
296,42.78125,-110.28125
297,42.78125,-110.21875
298,42.78125,-110.15625
299,42.78125,-110.09375
300,42.78125,-109.90625
301,42.78125,-109.84375
302,42.78125,-109.53125
303,42.78125,-109.46875
304,42.78125,-109.40625
305,42.78125,-109.34375
306,42.78125,-109.28125
307,42.78125,-109.21875
308,42.78125,-109.15625
309,42.78125,-109.09375
310,42.78125,-109.03125
311,42.78125,-108.96875
312,42.78125,-108.90625
313,42.78125,-108.84375
314,42.78125,-108.78125
315,42.84375,-112.53125
316,42.84375,-112.34375
317,42.84375,-112.28125
318,42.84375,-112.15625
319,42.84375,-112.09375
320,42.84375,-112.03125
321,42.84375,-111.78125
322,42.84375,-111.71875
323,42.84375,-111.65625
324,42.84375,-111.59375
325,42.84375,-111.53125
326,42.84375,-111.46875
327,42.84375,-111.40625
328,42.84375,-111.34375
329,42.84375,-111.28125
330,42.84375,-111.21875
331,42.84375,-111.15625
332,42.84375,-111.09375
333,42.84375,-111.03125
334,42.84375,-110.96875
335,42.84375,-110.90625
336,42.84375,-110.84375
337,42.84375,-110.78125
338,42.84375,-110.71875
339,42.84375,-110.65625
340,42.84375,-110.59375
341,42.84375,-110.53125
342,42.84375,-110.46875
343,42.84375,-110.40625
344,42.84375,-110.34375
345,42.84375,-110.28125
346,42.84375,-110.21875
347,42.84375,-110.15625
348,42.84375,-110.09375
349,42.84375,-110.03125
350,42.84375,-109.96875
351,42.84375,-109.90625
352,42.84375,-109.71875
353,42.84375,-109.65625
354,42.84375,-109.59375
355,42.84375,-109.53125
356,42.84375,-109.46875
357,42.84375,-109.40625
358,42.84375,-109.34375
359,42.84375,-109.28125
360,42.84375,-109.21875
361,42.84375,-109.15625
362,42.84375,-109.09375
363,42.84375,-109.03125
364,42.84375,-108.96875
365,42.84375,-108.90625
366,42.90625,-112.34375
367,42.90625,-112.28125
368,42.90625,-112.21875
369,42.90625,-112.15625
370,42.90625,-112.09375
371,42.90625,-112.03125
372,42.90625,-111.90625
373,42.90625,-111.84375
374,42.90625,-111.78125
375,42.90625,-111.71875
376,42.90625,-111.65625
377,42.90625,-111.59375
378,42.90625,-111.53125
379,42.90625,-111.46875
380,42.90625,-111.40625
381,42.90625,-111.34375
382,42.90625,-111.28125
383,42.90625,-111.21875
384,42.90625,-111.15625
385,42.90625,-111.09375
386,42.90625,-111.03125
387,42.90625,-110.96875
388,42.90625,-110.90625
389,42.90625,-110.84375
390,42.90625,-110.78125
391,42.90625,-110.71875
392,42.90625,-110.65625
393,42.90625,-110.59375
394,42.90625,-110.53125
395,42.90625,-110.46875
396,42.90625,-110.40625
397,42.90625,-110.34375
398,42.90625,-110.28125
399,42.90625,-110.21875
400,42.90625,-110.15625
401,42.90625,-110.09375
402,42.90625,-110.03125
403,42.90625,-109.96875
404,42.90625,-109.84375
405,42.90625,-109.78125
406,42.90625,-109.71875
407,42.90625,-109.65625
408,42.90625,-109.59375
409,42.90625,-109.53125
410,42.90625,-109.46875
411,42.90625,-109.40625
412,42.90625,-109.34375
413,42.90625,-109.28125
414,42.90625,-109.21875
415,42.90625,-109.15625
416,42.90625,-109.09375
417,42.90625,-109.03125
418,42.90625,-108.96875
419,42.96875,-112.34375
420,42.96875,-112.21875
421,42.96875,-112.15625
422,42.96875,-112.09375
423,42.96875,-112.03125
424,42.96875,-111.96875
425,42.96875,-111.90625
426,42.96875,-111.84375
427,42.96875,-111.78125
428,42.96875,-111.71875
429,42.96875,-111.65625
430,42.96875,-111.59375
431,42.96875,-111.53125
432,42.96875,-111.46875
433,42.96875,-111.40625
434,42.96875,-111.34375
435,42.96875,-111.28125
436,42.96875,-111.21875
