,lat_lowercolorado,lon_lowercolorado
213,31.65625,-110.09375
214,31.65625,-110.03125
215,31.65625,-109.96875
216,31.65625,-109.90625
217,31.65625,-109.84375
218,31.65625,-109.78125
219,31.65625,-109.71875
220,31.65625,-109.65625
221,31.65625,-109.59375
222,31.65625,-109.53125
223,31.65625,-109.46875
224,31.65625,-109.40625
225,31.65625,-109.34375
226,31.65625,-109.28125
227,31.65625,-109.21875
228,31.65625,-109.15625
229,31.65625,-109.09375
230,31.65625,-109.03125
231,31.65625,-108.96875
232,31.65625,-108.90625
233,31.65625,-108.84375
234,31.65625,-108.78125
235,31.65625,-108.71875
236,31.71875,-112.09375
237,31.71875,-112.03125
238,31.71875,-111.96875
239,31.71875,-111.90625
240,31.71875,-111.84375
241,31.71875,-111.78125
242,31.71875,-111.71875
243,31.71875,-111.65625
244,31.71875,-111.59375
245,31.71875,-111.53125
246,31.71875,-111.46875
247,31.71875,-111.40625
248,31.71875,-111.34375
249,31.71875,-111.28125
250,31.71875,-111.21875
251,31.71875,-111.15625
252,31.71875,-111.09375
253,31.71875,-111.03125
254,31.71875,-110.96875
255,31.71875,-110.90625
256,31.71875,-110.84375
257,31.71875,-110.78125
258,31.71875,-110.71875
259,31.71875,-110.65625
260,31.71875,-110.59375
261,31.71875,-110.53125
262,31.71875,-110.46875
263,31.71875,-110.40625
264,31.71875,-110.34375
265,31.71875,-110.28125
266,31.71875,-110.21875
267,31.71875,-110.15625
268,31.71875,-110.09375
269,31.71875,-110.03125
270,31.71875,-109.96875
271,31.71875,-109.90625
272,31.71875,-109.84375
273,31.71875,-109.78125
274,31.71875,-109.71875
275,31.71875,-109.65625
276,31.71875,-109.59375
277,31.71875,-109.53125
278,31.71875,-109.46875
279,31.71875,-109.40625
280,31.71875,-109.34375
281,31.71875,-109.28125
282,31.71875,-109.21875
283,31.71875,-109.15625
284,31.71875,-109.09375
285,31.71875,-109.03125
286,31.71875,-108.96875
287,31.71875,-108.90625
288,31.71875,-108.84375
289,31.71875,-108.78125
290,31.71875,-108.71875
291,31.78125,-112.59375
292,31.78125,-112.53125
293,31.78125,-112.46875
294,31.78125,-112.40625
295,31.78125,-112.34375
296,31.78125,-112.28125
297,31.78125,-112.21875
298,31.78125,-112.15625
299,31.78125,-112.09375
300,31.78125,-112.03125
301,31.78125,-111.96875
302,31.78125,-111.90625
303,31.78125,-111.84375
304,31.78125,-111.78125
305,31.78125,-111.71875
306,31.78125,-111.65625
307,31.78125,-111.59375
308,31.78125,-111.53125
309,31.78125,-111.46875
310,31.78125,-111.40625
311,31.78125,-111.34375
312,31.78125,-111.28125
313,31.78125,-111.21875
314,31.78125,-111.15625
315,31.78125,-111.09375
316,31.78125,-111.03125
317,31.78125,-110.96875
318,31.78125,-110.90625
319,31.78125,-110.84375
320,31.78125,-110.78125
321,31.78125,-110.71875
322,31.78125,-110.65625
323,31.78125,-110.59375
324,31.78125,-110.53125
325,31.78125,-110.46875
326,31.78125,-110.40625
327,31.78125,-110.34375
328,31.78125,-110.28125
329,31.78125,-110.21875
330,31.78125,-110.15625
331,31.78125,-110.09375
332,31.78125,-110.03125
333,31.78125,-109.96875
334,31.78125,-109.90625
335,31.78125,-109.84375
336,31.78125,-109.78125
337,31.78125,-109.71875
338,31.78125,-109.65625
339,31.78125,-109.59375
340,31.78125,-109.53125
341,31.78125,-109.46875
342,31.78125,-109.40625
343,31.78125,-109.34375
344,31.78125,-109.28125
345,31.78125,-109.21875
346,31.78125,-109.15625
347,31.78125,-109.09375
348,31.78125,-109.03125
349,31.78125,-108.96875
350,31.78125,-108.90625
351,31.78125,-108.84375
352,31.78125,-108.78125
353,31.78125,-108.71875
354,31.84375,-112.59375
355,31.84375,-112.53125
356,31.84375,-112.46875
357,31.84375,-112.40625
358,31.84375,-112.34375
359,31.84375,-112.28125
360,31.84375,-112.21875
361,31.84375,-112.15625
362,31.84375,-112.09375
363,31.84375,-112.03125
364,31.84375,-111.96875
365,31.84375,-111.90625
366,31.84375,-111.84375
367,31.84375,-111.78125
368,31.84375,-111.71875
369,31.84375,-111.65625
370,31.84375,-111.59375
371,31.84375,-111.53125
372,31.84375,-111.46875
373,31.84375,-111.40625
374,31.84375,-111.34375
375,31.84375,-111.28125
376,31.84375,-111.21875
377,31.84375,-111.15625
378,31.84375,-111.09375
379,31.84375,-111.03125
380,31.84375,-110.96875
381,31.84375,-110.90625
382,31.84375,-110.84375
383,31.84375,-110.78125
384,31.84375,-110.71875
385,31.84375,-110.65625
386,31.84375,-110.59375
387,31.84375,-110.53125
388,31.84375,-110.46875
389,31.84375,-110.40625
390,31.84375,-110.34375
391,31.84375,-110.28125
392,31.84375,-110.21875
393,31.84375,-110.15625
394,31.84375,-110.09375
395,31.84375,-110.03125
396,31.84375,-109.96875
397,31.84375,-109.90625
398,31.84375,-109.84375
399,31.84375,-109.78125
400,31.84375,-109.71875
401,31.84375,-109.65625
402,31.84375,-109.59375
403,31.84375,-109.53125
404,31.84375,-109.46875
405,31.84375,-109.40625
406,31.84375,-109.34375
407,31.84375,-109.21875
408,31.84375,-109.15625
409,31.84375,-109.09375
410,31.84375,-109.03125
411,31.84375,-108.96875
412,31.84375,-108.90625
413,31.84375,-108.84375
414,31.84375,-108.78125
415,31.84375,-108.71875
416,31.90625,-112.96875
417,31.90625,-112.90625
418,31.90625,-112.84375
419,31.90625,-112.78125
420,31.90625,-112.71875
421,31.90625,-112.65625
422,31.90625,-112.59375
423,31.90625,-112.53125
424,31.90625,-112.46875
425,31.90625,-112.40625
426,31.90625,-112.34375
427,31.90625,-112.28125
428,31.90625,-112.21875
429,31.90625,-112.15625
430,31.90625,-112.09375
431,31.90625,-112.03125
432,31.90625,-111.96875
433,31.90625,-111.90625
434,31.90625,-111.84375
435,31.90625,-111.78125
436,31.90625,-111.71875
437,31.90625,-111.65625
438,31.90625,-111.59375
439,31.90625,-111.53125
440,31.90625,-111.46875
441,31.90625,-111.40625
442,31.90625,-111.34375
443,31.90625,-111.28125
444,31.90625,-111.21875
445,31.90625,-111.15625
446,31.90625,-111.09375
447,31.90625,-111.03125
448,31.90625,-110.96875
449,31.90625,-110.90625
450,31.90625,-110.84375
451,31.90625,-110.78125
452,31.90625,-110.71875
453,31.90625,-110.65625
454,31.90625,-110.59375
455,31.90625,-110.53125
456,31.90625,-110.46875
457,31.90625,-110.40625
458,31.90625,-110.34375
459,31.90625,-110.28125
460,31.90625,-110.21875
461,31.90625,-110.15625
462,31.90625,-110.09375
463,31.90625,-110.03125
464,31.90625,-109.96875
465,31.90625,-109.90625
466,31.90625,-109.84375
467,31.90625,-109.78125
468,31.90625,-109.71875
469,31.90625,-109.65625
470,31.90625,-109.59375
471,31.90625,-109.53125
472,31.90625,-109.46875
473,31.90625,-109.40625
474,31.90625,-109.34375
475,31.90625,-109.21875
476,31.90625,-109.15625
477,31.90625,-109.09375
478,31.90625,-109.03125
479,31.90625,-108.96875
480,31.90625,-108.90625
481,31.90625,-108.84375
482,31.90625,-108.78125
483,31.90625,-108.71875
484,31.96875,-112.96875
485,31.96875,-112.90625
486,31.96875,-112.84375
487,31.96875,-112.78125
488,31.96875,-112.71875
489,31.96875,-112.65625
490,31.96875,-112.59375
491,31.96875,-112.53125
492,31.96875,-112.46875
493,31.96875,-112.40625
494,31.96875,-112.34375
495,31.96875,-112.28125
496,31.96875,-112.21875
497,31.96875,-112.15625
498,31.96875,-112.09375
499,31.96875,-112.03125
500,31.96875,-111.96875
501,31.96875,-111.90625
502,31.96875,-111.84375
503,31.96875,-111.78125
504,31.96875,-111.71875
505,31.96875,-111.65625
506,31.96875,-111.59375
507,31.96875,-111.53125
508,31.96875,-111.46875
509,31.96875,-111.40625
510,31.96875,-111.34375
511,31.96875,-111.28125
512,31.96875,-111.21875
513,31.96875,-111.15625
514,31.96875,-111.09375
515,31.96875,-111.03125
516,31.96875,-110.96875
517,31.96875,-110.90625
518,31.96875,-110.84375
519,31.96875,-110.78125
520,31.96875,-110.71875
521,31.96875,-110.65625
522,31.96875,-110.59375
523,31.96875,-110.53125
524,31.96875,-110.46875
525,31.96875,-110.40625
526,31.96875,-110.34375
527,31.96875,-110.28125
528,31.96875,-110.21875
529,31.96875,-110.15625
530,31.96875,-110.09375
531,31.96875,-110.03125
532,31.96875,-109.96875
533,31.96875,-109.90625
534,31.96875,-109.84375
535,31.96875,-109.78125
536,31.96875,-109.71875
537,31.96875,-109.65625
538,31.96875,-109.59375
539,31.96875,-109.53125
540,31.96875,-109.46875
541,31.96875,-109.40625
542,31.96875,-109.34375
543,31.96875,-109.28125
544,31.96875,-109.21875
545,31.96875,-109.15625
546,31.96875,-109.09375
547,31.96875,-109.03125
548,31.96875,-108.96875
549,31.96875,-108.90625
550,31.96875,-108.84375
551,31.96875,-108.78125
552,31.96875,-108.71875
553,32.03125,-113.34375
554,32.03125,-113.28125
555,32.03125,-113.21875
556,32.03125,-113.15625
557,32.03125,-113.09375
558,32.03125,-113.03125
559,32.03125,-112.96875
560,32.03125,-112.90625
561,32.03125,-112.84375
562,32.03125,-112.78125
563,32.03125,-112.71875
564,32.03125,-112.65625
565,32.03125,-112.59375
566,32.03125,-112.53125
567,32.03125,-112.46875
568,32.03125,-112.40625
569,32.03125,-112.34375
570,32.03125,-112.28125
571,32.03125,-112.21875
572,32.03125,-112.15625
573,32.03125,-112.09375
574,32.03125,-112.03125
575,32.03125,-111.96875
576,32.03125,-111.90625
577,32.03125,-111.84375
578,32.03125,-111.78125
579,32.03125,-111.71875
580,32.03125,-111.65625
581,32.03125,-111.59375
582,32.03125,-111.53125
583,32.03125,-111.46875
584,32.03125,-111.40625
585,32.03125,-111.34375
586,32.03125,-111.28125
587,32.03125,-111.21875
588,32.03125,-111.15625
589,32.03125,-111.09375
590,32.03125,-111.03125
591,32.03125,-110.96875
592,32.03125,-110.90625
593,32.03125,-110.84375
594,32.03125,-110.78125
595,32.03125,-110.71875
596,32.03125,-110.65625
597,32.03125,-110.59375
598,32.03125,-110.53125
599,32.03125,-110.46875
600,32.03125,-110.40625
601,32.03125,-110.34375
602,32.03125,-110.28125
603,32.03125,-110.21875
604,32.03125,-110.15625
605,32.03125,-110.09375
606,32.03125,-110.03125
607,32.03125,-109.96875
608,32.03125,-109.90625
609,32.03125,-109.84375
610,32.03125,-109.78125
611,32.03125,-109.71875
612,32.03125,-109.65625
613,32.03125,-109.59375
614,32.03125,-109.53125
615,32.03125,-109.46875
616,32.03125,-109.40625
617,32.03125,-109.34375
618,32.03125,-109.28125
