,lat_nwinterior,lon_nwinterior
213,42.09375,-114.59375
214,42.09375,-114.53125
215,42.09375,-114.46875
216,42.09375,-114.40625
217,42.09375,-114.34375
218,42.09375,-114.09375
219,42.09375,-114.03125
220,42.09375,-113.96875
221,42.09375,-113.90625
222,42.09375,-113.78125
223,42.09375,-113.65625
224,42.09375,-113.59375
225,42.09375,-113.53125
226,42.09375,-113.46875
227,42.09375,-113.40625
228,42.09375,-113.34375
229,42.09375,-113.28125
230,42.09375,-113.21875
231,42.09375,-113.03125
232,42.09375,-112.96875
233,42.09375,-112.90625
234,42.09375,-112.84375
235,42.09375,-112.78125
236,42.09375,-112.71875
237,42.09375,-112.65625
238,42.09375,-112.46875
239,42.09375,-112.28125
240,42.09375,-112.21875
241,42.09375,-111.96875
242,42.09375,-111.90625
243,42.09375,-111.84375
244,42.09375,-111.78125
245,42.09375,-111.71875
246,42.09375,-111.34375
247,42.09375,-111.28125
248,42.09375,-111.15625
249,42.15625,-121.46875
250,42.15625,-121.40625
251,42.15625,-121.34375
252,42.15625,-121.28125
253,42.15625,-121.21875
254,42.15625,-121.15625
255,42.15625,-121.09375
256,42.15625,-121.03125
257,42.15625,-120.65625
258,42.15625,-120.59375
259,42.15625,-120.53125
260,42.15625,-120.46875
261,42.15625,-120.40625
262,42.15625,-120.34375
263,42.15625,-120.09375
264,42.15625,-120.03125
265,42.15625,-119.96875
266,42.15625,-119.90625
267,42.15625,-119.84375
268,42.15625,-119.78125
269,42.15625,-119.71875
270,42.15625,-119.65625
271,42.15625,-119.59375
272,42.15625,-119.53125
273,42.15625,-119.46875
274,42.15625,-119.40625
275,42.15625,-119.34375
276,42.15625,-119.28125
277,42.15625,-119.21875
278,42.15625,-119.15625
279,42.15625,-119.09375
280,42.15625,-119.03125
281,42.15625,-118.96875
282,42.15625,-118.90625
283,42.15625,-118.84375
284,42.15625,-118.78125
285,42.15625,-118.65625
286,42.15625,-118.59375
287,42.15625,-118.53125
288,42.15625,-118.46875
289,42.15625,-118.40625
290,42.15625,-118.34375
291,42.15625,-118.21875
292,42.15625,-118.15625
293,42.15625,-117.84375
294,42.15625,-117.78125
295,42.15625,-117.71875
296,42.15625,-117.65625
297,42.15625,-117.40625
298,42.15625,-117.34375
299,42.15625,-117.28125
300,42.15625,-117.21875
301,42.15625,-117.15625
302,42.15625,-117.09375
303,42.15625,-117.03125
304,42.15625,-116.96875
305,42.15625,-116.90625
306,42.15625,-116.84375
307,42.15625,-116.78125
308,42.15625,-116.71875
309,42.15625,-116.65625
310,42.15625,-116.59375
311,42.15625,-116.53125
312,42.15625,-116.46875
313,42.15625,-116.40625
314,42.15625,-116.34375
315,42.15625,-116.28125
316,42.15625,-116.21875
317,42.15625,-116.15625
318,42.15625,-116.09375
319,42.15625,-116.03125
320,42.15625,-115.96875
321,42.15625,-115.90625
322,42.15625,-115.84375
323,42.15625,-115.78125
324,42.15625,-115.71875
325,42.15625,-115.65625
326,42.15625,-115.59375
327,42.15625,-115.53125
328,42.15625,-115.46875
329,42.15625,-115.40625
330,42.15625,-115.34375
331,42.15625,-115.28125
332,42.15625,-115.21875
333,42.15625,-115.15625
334,42.15625,-115.09375
335,42.15625,-115.03125
336,42.15625,-114.96875
337,42.15625,-114.90625
338,42.15625,-114.84375
339,42.15625,-114.78125
340,42.15625,-114.71875
341,42.15625,-114.65625
342,42.15625,-114.59375
343,42.15625,-114.53125
344,42.15625,-114.46875
345,42.15625,-114.40625
346,42.15625,-114.34375
347,42.15625,-114.09375
348,42.15625,-114.03125
349,42.15625,-113.96875
350,42.15625,-113.90625
351,42.15625,-113.84375
352,42.15625,-113.78125
353,42.15625,-113.59375
354,42.15625,-113.46875
355,42.15625,-113.40625
356,42.15625,-113.34375
357,42.15625,-113.28125
358,42.15625,-113.21875
359,42.15625,-113.03125
360,42.15625,-112.96875
361,42.15625,-112.90625
362,42.15625,-112.84375
363,42.15625,-112.78125
364,42.15625,-112.71875
365,42.15625,-112.65625
366,42.15625,-112.59375
367,42.15625,-112.34375
368,42.15625,-112.28125
369,42.15625,-111.96875
370,42.15625,-111.90625
371,42.15625,-111.84375
372,42.15625,-111.78125
373,42.15625,-111.71875
374,42.15625,-111.34375
375,42.15625,-111.28125
376,42.15625,-111.15625
377,42.21875,-121.46875
378,42.21875,-121.40625
379,42.21875,-121.34375
380,42.21875,-121.28125
381,42.21875,-121.15625
382,42.21875,-121.09375
383,42.21875,-120.71875
384,42.21875,-120.53125
385,42.21875,-120.46875
386,42.21875,-120.40625
387,42.21875,-120.34375
388,42.21875,-120.09375
389,42.21875,-120.03125
390,42.21875,-119.96875
391,42.21875,-119.90625
392,42.21875,-119.84375
393,42.21875,-119.78125
394,42.21875,-119.71875
395,42.21875,-119.65625
396,42.21875,-119.59375
397,42.21875,-119.53125
398,42.21875,-119.46875
399,42.21875,-119.40625
400,42.21875,-119.34375
401,42.21875,-119.28125
402,42.21875,-119.21875
403,42.21875,-119.15625
404,42.21875,-119.09375
405,42.21875,-119.03125
406,42.21875,-118.96875
407,42.21875,-118.90625
408,42.21875,-118.84375
409,42.21875,-118.78125
410,42.21875,-118.71875
411,42.21875,-118.65625
412,42.21875,-118.59375
413,42.21875,-118.53125
414,42.21875,-118.46875
415,42.21875,-118.40625
416,42.21875,-118.34375
417,42.21875,-118.28125
418,42.21875,-118.21875
419,42.21875,-118.15625
420,42.21875,-117.96875
421,42.21875,-117.90625
422,42.21875,-117.84375
423,42.21875,-117.78125
424,42.21875,-117.71875
425,42.21875,-117.65625
426,42.21875,-117.59375
427,42.21875,-117.53125
428,42.21875,-117.46875
429,42.21875,-117.40625
430,42.21875,-117.34375
431,42.21875,-117.28125
432,42.21875,-117.21875
433,42.21875,-117.15625
434,42.21875,-117.09375
435,42.21875,-117.03125
436,42.21875,-116.96875
437,42.21875,-116.90625
438,42.21875,-116.84375
439,42.21875,-116.78125
440,42.21875,-116.71875
441,42.21875,-116.65625
442,42.21875,-116.59375
443,42.21875,-116.53125
444,42.21875,-116.46875
445,42.21875,-116.40625
446,42.21875,-116.34375
447,42.21875,-116.28125
448,42.21875,-116.21875
449,42.21875,-116.15625
450,42.21875,-116.09375
451,42.21875,-116.03125
452,42.21875,-115.96875
453,42.21875,-115.90625
454,42.21875,-115.84375
455,42.21875,-115.78125
456,42.21875,-115.71875
457,42.21875,-115.65625
458,42.21875,-115.59375
459,42.21875,-115.53125
460,42.21875,-115.46875
461,42.21875,-115.40625
462,42.21875,-115.34375
463,42.21875,-115.28125
464,42.21875,-115.21875
465,42.21875,-115.15625
466,42.21875,-115.09375
467,42.21875,-115.03125
468,42.21875,-114.96875
469,42.21875,-114.90625
470,42.21875,-114.84375
471,42.21875,-114.78125
472,42.21875,-114.71875
473,42.21875,-114.65625
474,42.21875,-114.59375
475,42.21875,-114.53125
476,42.21875,-114.46875
477,42.21875,-114.40625
478,42.21875,-114.34375
479,42.21875,-114.03125
480,42.21875,-113.96875
481,42.21875,-113.90625
482,42.21875,-113.84375
483,42.21875,-113.78125
484,42.21875,-113.59375
485,42.21875,-113.53125
486,42.21875,-113.46875
487,42.21875,-113.40625
488,42.21875,-113.34375
489,42.21875,-113.28125
490,42.21875,-113.21875
491,42.21875,-113.09375
492,42.21875,-113.03125
493,42.21875,-112.96875
494,42.21875,-112.78125
495,42.21875,-112.71875
496,42.21875,-112.65625
497,42.21875,-112.59375
498,42.21875,-112.34375
499,42.21875,-112.28125
500,42.21875,-111.96875
501,42.21875,-111.90625
502,42.21875,-111.84375
503,42.21875,-111.78125
504,42.21875,-111.40625
505,42.21875,-111.34375
506,42.21875,-111.28125
507,42.21875,-111.21875
508,42.21875,-111.15625
509,42.21875,-111.09375
510,42.21875,-111.03125
511,42.28125,-121.46875
512,42.28125,-121.40625
513,42.28125,-121.34375
514,42.28125,-121.15625
515,42.28125,-120.46875
516,42.28125,-120.40625
517,42.28125,-120.34375
518,42.28125,-120.03125
519,42.28125,-119.96875
520,42.28125,-119.84375
521,42.28125,-119.78125
522,42.28125,-119.71875
523,42.28125,-119.65625
524,42.28125,-119.59375
525,42.28125,-119.53125
526,42.28125,-119.46875
527,42.28125,-119.40625
528,42.28125,-119.34375
529,42.28125,-119.28125
530,42.28125,-119.21875
531,42.28125,-119.15625
532,42.28125,-119.09375
533,42.28125,-119.03125
534,42.28125,-118.96875
535,42.28125,-118.90625
536,42.28125,-118.84375
537,42.28125,-118.78125
538,42.28125,-118.71875
539,42.28125,-118.65625
540,42.28125,-118.59375
541,42.28125,-118.53125
542,42.28125,-118.46875
543,42.28125,-118.40625
544,42.28125,-118.34375
545,42.28125,-118.28125
546,42.28125,-118.21875
547,42.28125,-118.15625
548,42.28125,-117.96875
549,42.28125,-117.90625
550,42.28125,-117.84375
551,42.28125,-117.78125
552,42.28125,-117.71875
553,42.28125,-117.65625
554,42.28125,-117.59375
555,42.28125,-117.53125
556,42.28125,-117.46875
557,42.28125,-117.40625
